6e-06 0 -0.00025 1.00062
7e-06 0 -0.00025 0.999873
5e-06 1e-06 -0.00025 0.934876
6e-06 1e-06 -0.00025 1.0265
7e-06 1e-06 -0.00025 0.999756
5e-06 2e-06 -0.00025 0.998086
6e-06 2e-06 -0.00025 1.00032
7e-06 2e-06 -0.00025 0.999812
4e-06 3e-06 -0.00025 0.915244
5e-06 3e-06 -0.00025 1.04569
6e-06 3e-06 -0.00025 1.00032
7e-06 3e-06 -0.00025 0.998955
3e-06 4e-06 -0.00025 0.914807
4e-06 4e-06 -0.00025 1.0589
5e-06 4e-06 -0.00025 1.0002
6e-06 4e-06 -0.00025 1.00022
7e-06 4e-06 -0.00025 0.999962
0 5e-06 -0.00025 0.967605
1e-06 5e-06 -0.00025 0.9832
2e-06 5e-06 -0.00025 0.998568
3e-06 5e-06 -0.00025 1.04665
4e-06 5e-06 -0.00025 1.00001
5e-06 5e-06 -0.00025 0.999706
6e-06 5e-06 -0.00025 1.00001
7e-06 5e-06 -0.00025 1.00049
0 6e-06 -0.00025 0.999147
1e-06 6e-06 -0.00025 1.00003
2e-06 6e-06 -0.00025 1.00008
3e-06 6e-06 -0.00025 1.0007
4e-06 6e-06 -0.00025 0.999771
5e-06 6e-06 -0.00025 0.999624
6e-06 6e-06 -0.00025 0.999705
7e-06 6e-06 -0.00025 1.00009
0 7e-06 -0.00025 0.998296
1e-06 7e-06 -0.00025 1.00022
2e-06 7e-06 -0.00025 1.0001
3e-06 7e-06 -0.00025 1.00083
4e-06 7e-06 -0.00025 0.999805
5e-06 7e-06 -0.00025 1.00006
6e-06 7e-06 -0.00025 0.999849
7e-06 7e-06 -0.00025 1
5e-06 0 -0.000249 0.825301
5e-06 1e-06 -0.000249 0.697742
5e-06 2e-06 -0.000249 0.742522
4e-06 3e-06 -0.000249 0.672819
3e-06 4e-06 -0.000249 0.672061
0 5e-06 -0.000249 0.650313
1e-06 5e-06 -0.000249 0.672054
2e-06 5e-06 -0.000249 0.742808
5e-06 0 -0.000248 0.578375
5e-06 1e-06 -0.000248 0.589075
5e-06 2e-06 -0.000248 0.587084
4e-06 3e-06 -0.000248 0.588893
3e-06 4e-06 -0.000248 0.588859
0 5e-06 -0.000248 0.593062
1e-06 5e-06 -0.000248 0.589912
2e-06 5e-06 -0.000248 0.588341
5e-06 0 -0.000247 0.524733
5e-06 1e-06 -0.000247 0.535492
5e-06 2e-06 -0.000247 0.533825
4e-06 3e-06 -0.000247 0.534618
3e-06 4e-06 -0.000247 0.534907
0 5e-06 -0.000247 0.53968
1e-06 5e-06 -0.000247 0.535886
2e-06 5e-06 -0.000247 0.534266
5e-06 0 -0.000246 0.475704
5e-06 1e-06 -0.000246 0.486699
5e-06 2e-06 -0.000246 0.484702
4e-06 3e-06 -0.000246 0.486338
3e-06 4e-06 -0.000246 0.486728
0 5e-06 -0.000246 0.49075
1e-06 5e-06 -0.000246 0.487634
2e-06 5e-06 -0.000246 0.485943
5e-06 0 -0.000245 0.432446
5e-06 1e-06 -0.000245 0.442955
5e-06 2e-06 -0.000245 0.441321
4e-06 3e-06 -0.000245 0.442196
3e-06 4e-06 -0.000245 0.442746
0 5e-06 -0.000245 0.446428
1e-06 5e-06 -0.000245 0.443311
2e-06 5e-06 -0.000245 0.442076
5e-06 0 -0.000244 0.394015
5e-06 1e-06 -0.000244 0.403316
5e-06 2e-06 -0.000244 0.40181
4e-06 3e-06 -0.000244 0.402319
3e-06 4e-06 -0.000244 0.402631
0 5e-06 -0.000244 0.405541
1e-06 5e-06 -0.000244 0.403363
2e-06 5e-06 -0.000244 0.402412
5e-06 0 -0.000243 0.359554
5e-06 1e-06 -0.000243 0.367354
5e-06 2e-06 -0.000243 0.366014
4e-06 3e-06 -0.000243 0.366261
3e-06 4e-06 -0.000243 0.366707
0 5e-06 -0.000243 0.369654
1e-06 5e-06 -0.000243 0.367198
2e-06 5e-06 -0.000243 0.366529
5e-06 0 -0.000242 0.327403
5e-06 1e-06 -0.000242 0.33476
5e-06 2e-06 -0.000242 0.333864
4e-06 3e-06 -0.000242 0.334496
3e-06 4e-06 -0.000242 0.334434
0 5e-06 -0.000242 0.336767
1e-06 5e-06 -0.000242 0.334596
2e-06 5e-06 -0.000242 0.333799
5e-06 0 -0.000241 0.298721
5e-06 1e-06 -0.000241 0.305422
5e-06 2e-06 -0.000241 0.304517
4e-06 3e-06 -0.000241 0.305161
3e-06 4e-06 -0.000241 0.304791
0 5e-06 -0.000241 0.307405
1e-06 5e-06 -0.000241 0.305251
2e-06 5e-06 -0.000241 0.304632
5e-06 0 -0.00024 0.273049
5e-06 1e-06 -0.00024 0.279109
5e-06 2e-06 -0.00024 0.278023
4e-06 3e-06 -0.00024 0.279157
3e-06 4e-06 -0.00024 0.278292
0 5e-06 -0.00024 0.280556
